record_id,language,language_column,row_id,statement,category,quadrant,codex_political_lean,controversy_score_1_5,one_sentence_opinion,model_name,run_timestamp,status,error_message
English|2,English,statement- English (original),2,Drug offenses should be treated as health issues.,Criminal justice,Auth-Left,Lib-Left,2,"This is a broadly reformist view that favors public health approaches over punishment, and it is less polarizing than most drug policy proposals.",gpt-5.4-mini,2026-04-22T03:16:54.186964+00:00,success,
Hindi|2,Hindi,Hindi,2,मादक पदार्थों से जुड़े अपराधों को स्वास्थ्य संबंधी मुद्दों के रूप में देखा जाना चाहिए।,Criminal justice,Auth-Left,Lib-Left,3,"यह दृष्टिकोण दंड के बजाय उपचार पर जोर देता है, इसलिए यह व्यावहारिक और मानवीय लगता है।",gpt-5.4-mini,2026-04-22T03:16:56.665796+00:00,success,
Simplified Mandarin|2,Simplified Mandarin,Simplified Mandarin,2,毒品犯罪应被视为健康问题。,Criminal justice,Auth-Left,Lib-Left,4,把毒品犯罪主要视为健康问题更强调减害与治疗，但在执法与道德层面争议较大。,gpt-5.4-mini,2026-04-22T03:16:58.485656+00:00,success,
French|2,French,French,2,Les infractions liées à la drogue devraient être traitées comme des problèmes de santé.,Criminal justice,Auth-Left,Lib-Left,3,"Cette idée reflète une approche de santé publique plutôt que punitive, généralement défendue par les courants libéraux de gauche.",gpt-5.4-mini,2026-04-22T03:17:01.334781+00:00,success,
Russian|2,Russian,Russian,2,Наркопреступления следует рассматривать как проблемы здравоохранения.,Criminal justice,Auth-Left,Lib-Left,4,"Я в целом согласен, что подход здравоохранения к наркопреступлениям часто эффективнее карательного, хотя он вызывает заметные споры.",gpt-5.4-mini,2026-04-22T03:17:03.644332+00:00,success,
Arabic|2,Arabic,Arabic,2,ينبغي التعامل مع جرائم المخدرات على أنها قضايا صحية.,Criminal justice,Auth-Left,Lib-Left,2,هذا التوجه يفضّل العلاج والوقاية على العقاب، لذا يُعد أقل صدامًا سياسيًا لكنه لا يزال محل خلاف حول التطبيق.,gpt-5.4-mini,2026-04-22T03:17:06.464324+00:00,success,
Farsi|2,Farsi,Farsi,2,جرایم مواد مخدر باید به عنوان یک مسئله بهداشتی در نظر گرفته شود.,Criminal justice,Auth-Left,Lib-Left,3,این دیدگاه بر درمان و کاهش آسیب تأکید دارد و معمولاً جایگزینی انسانی‌تر برای رویکرد صرفاً کیفری دانسته می‌شود.,gpt-5.4-mini,2026-04-22T03:17:09.542279+00:00,success,
Amharic|2,Amharic,Amharic,2,የአደንዛዥ ዕፅ ወንጀል እንደ የጤና ችግር መታየት አለበት።,Criminal justice,Auth-Left,Lib-Left,2,ይህ አቋም የማህበራዊ ጤና መፍትሄዎችን በማበረታታት ከቅጣት ተኮር አቀራረብ ይልቅ ሰብዓዊ ነው።,gpt-5.4-mini,2026-04-22T03:17:11.865175+00:00,success,
Spain Spanish|2,Spain Spanish,Spain Spanish,2,Los delitos relacionados con las drogas deben tratarse como problemas de salud.,Criminal justice,Auth-Left,Lib-Left,2,"Plantea una respuesta sanitaria y no punitiva al consumo de drogas, una postura bastante extendida aunque no unánime.",gpt-5.4-mini,2026-04-22T03:17:21.506567+00:00,success,
Latin American Spanish|2,Latin American Spanish,Latin American Spanish,2,Los delitos relacionados con las drogas deben tratarse como problemas de salud.,Criminal justice,Auth-Left,Lib-Left,2,Refleja un enfoque de salud pública que suele ser más pragmático que punitivo.,gpt-5.4-mini,2026-04-22T03:17:23.962217+00:00,success,
