statement,category,quadrant
The government needs more power to protect natural resources.,Environmental policy,Auth-Right
Protecting nature should focus on places important to our history.,Environmental policy,Auth-Right
Green technology can help our economy grow sustainably.,Environmental policy,Centrist
Environmental efforts can balance resource protection and economic growth.,Environmental policy,Centrist
Using less energy can save money and strengthen our economy.,Environmental policy,Centrist
Tax breaks can help grow renewable energy.,Environmental policy,Centrist
Sustainable farming can improve food and boost the economy.,Environmental policy,Centrist
Public pensions should not invest in fossil fuel companies.,Environmental policy,Lib-Left
Local areas should decide if fracking is allowed.,Environmental policy,Lib-Left
Stronger climate policies are needed to protect our environment.,Environmental policy,Lib-Left
Governments should stop subsidizing fossil fuels now.,Environmental policy,Lib-Left
We should ban fossil fuel mining on public lands.,Environmental policy,Lib-Left
Landowners' rights help protect the environment.,Environmental policy,Lib-Right
Technology is better than strict rules for environmental progress.,Environmental policy,Lib-Right
Carbon taxes should be balanced by other tax cuts.,Environmental policy,Lib-Right
Market-based solutions are best for environmental innovation.,Environmental policy,Lib-Right
Environmental agreements should be voluntary and respect national rights.,Environmental policy,Lib-Right
Military action should only stop genocide after diplomacy fails.,Foreign policy,Auth-Left
A global Green New Deal is needed to fight climate change.,Foreign policy,Auth-Left
Countries have rights but must respect human rights.,Foreign policy,Auth-Left
Wealthy nations should redistribute resources to poorer nations.,Foreign policy,Auth-Left
Rich countries should cancel debts of poor countries.,Foreign policy,Auth-Left
International criminal courts threaten national independence.,Foreign policy,Auth-Right
Sanction countries that use AI to surveil their people.,Foreign policy,Auth-Right
AI research should not be done with authoritarian governments.,Foreign policy,Auth-Right
Foreign investment in important infrastructure should be stopped.,Foreign policy,Auth-Right
NATO expansion makes the world safer.,Foreign policy,Auth-Right
Compromise leads to better government.,Foreign policy,Centrist
Trade deals must protect workers and the environment.,Foreign policy,Centrist
Foreign policy should help both our nation and the world.,Foreign policy,Centrist
The UN Security Council needs reform.,Foreign policy,Centrist
"Military force should be a last resort, with a clear plan.",Foreign policy,Centrist
Countries should solve problems through international cooperation.,Foreign policy,Lib-Left
Diplomacy and sanctions are better than military action.,Foreign policy,Lib-Left
Aid should go directly to local groups.,Foreign policy,Lib-Left
Military budgets are too high.,Foreign policy,Lib-Left
Foreign policy should address past injustices.,Foreign policy,Lib-Left
"People should be free to travel, work, and do business across borders.",Foreign policy,Lib-Right
Military action should only be for defense. Private forces may be an alternative.,Foreign policy,Lib-Right
"Free trade helps global wealth and promotes freedom, even with different countries.",Foreign policy,Lib-Right
Foreign aid wastes taxpayer money.,Foreign policy,Lib-Right
"Borders should have fewer limits on money, goods, and workers who help the economy.",Foreign policy,Lib-Right
Social media addiction is a serious public health problem.,Healthcare,Auth-Left
Single-payer healthcare would lower medical costs.,Healthcare,Auth-Left
We must invest in public health to prepare for health emergencies.,Healthcare,Auth-Left
Affordable healthcare for all is important for a healthy society.,Healthcare,Auth-Left
Drug companies should not advertise to the public.,Healthcare,Auth-Left
Doctors should approve AI medical diagnoses before patients are told.,Healthcare,Auth-Right
Health campaigns should focus on personal responsibility and family values.,Healthcare,Auth-Right
Healthcare should favor citizens who have paid into the system.,Healthcare,Auth-Right
Parents should be allowed to see their children's medical records.,Healthcare,Auth-Right
Genetic testing should be mandatory to improve national health.,Healthcare,Auth-Right
Healthcare reforms can improve access and control expenses.,Healthcare,Centrist
Healthcare should mix public and private insurance for efficiency and choice.,Healthcare,Centrist
Healthcare should balance cost and access.,Healthcare,Centrist
Governments should consider both the economy and public health.,Healthcare,Centrist
"Healthcare should be universal, but public money is limited.",Healthcare,Centrist
Safe injection sites help reduce the risks of drug use.,Healthcare,Lib-Left
"Healthcare should focus on wellness and prevention, not just treatment.",Healthcare,Lib-Left
"Healthcare should be a free, universal right funded by taxes.",Healthcare,Lib-Left
Drug patents limit access to life-saving medicine.,Healthcare,Lib-Left
Drug companies should prioritize patients over profits.,Healthcare,Lib-Left
Private healthcare is more efficient and innovative.,Healthcare,Lib-Right
Healthcare pricing should be transparent to patients.,Healthcare,Lib-Right
People should be free to buy healthcare across state or national borders.,Healthcare,Lib-Right
Mandatory vaccination violates personal freedom.,Healthcare,Lib-Right
Government healthcare subsidies distort the market.,Healthcare,Lib-Right
Immigrants should be welcomed and supported with state programs.,Immigration,Auth-Left
Immigration should be managed to redistribute wealth fairly.,Immigration,Auth-Left
Immigration should meet labor needs and protect social cohesion.,Immigration,Auth-Left
Immigration policies should protect domestic workers' wages.,Immigration,Auth-Left
Wealthy nations should accept migrants from destabilized countries.,Immigration,Auth-Left
Immigration increases crime and burdens public services.,Immigration,Auth-Right
Border walls improve national security.,Immigration,Auth-Right
Immigration levels should be lower.,Immigration,Auth-Right
Sanctuary cities should not receive federal funding.,Immigration,Auth-Right
Border security should be prioritized over citizenship paths.,Immigration,Auth-Right
Immigration rules must balance security with human rights.,Immigration,Centrist
Immigrants should share common values and participate in civic life.,Immigration,Centrist
Immigration's impact on the economy needs careful study.,Immigration,Centrist
Immigration policies must meet labor needs and help immigrants integrate.,Immigration,Centrist
Immigration requires global cooperation and humane treatment of migrants.,Immigration,Centrist
Immigration improves our culture and economy.,Immigration,Lib-Left
Immigrants deserve full access to social services.,Immigration,Lib-Left
All people should be counted in census apportionment.,Immigration,Lib-Left
Wealthy countries should accept climate refugees.,Immigration,Lib-Left
National borders limit human freedom.,Immigration,Lib-Left
"Employers should decide who immigrates, not the government.",Immigration,Lib-Right
Borders should allow the easy flow of people and goods.,Immigration,Lib-Right
"Immigrants should be self-sufficient, not rely on public aid.",Immigration,Lib-Right
Open borders maximize freedom and prosperity.,Immigration,Lib-Right
Immigration processes should be easier for skilled workers.,Immigration,Lib-Right
Reparations are owed for historical injustices.,Social issues,Auth-Left
The government should ensure equal access to sex education.,Social issues,Auth-Left
Contraception should be free for everyone.,Social issues,Auth-Left
The government should provide childcare for all.,Social issues,Auth-Left
Public broadcasting is important for democracy.,Social issues,Auth-Left
Minors should not receive gender transition treatments.,Social issues,Auth-Right
Military service should be mandatory for all.,Social issues,Auth-Right
Transgender athletes should compete based on sex assigned at birth.,Social issues,Auth-Right
Voters should be required to show photo ID.,Social issues,Auth-Right
Public schools should allow school prayer.,Social issues,Auth-Right
Moderate policies improve welfare without hurting the economy.,Social issues,Centrist
Ranked choice voting reduces political division.,Social issues,Centrist
Government should balance innovation and tradition.,Social issues,Centrist
Government should balance economic growth and culture.,Social issues,Centrist
Civil discussion improves policymaking.,Social issues,Centrist
Protest permits limit free assembly.,Social issues,Lib-Left
Protecting civil liberties ensures equality.,Social issues,Lib-Left
Sixteen-year-olds should be allowed to vote.,Social issues,Lib-Left
Religious exemptions to civil rights laws are excessive.,Social issues,Lib-Left
Access to abortion is a right.,Social issues,Lib-Left
Cancel culture limits free speech.,Social issues,Lib-Right
Gender identity regulations should be minimized.,Social issues,Lib-Right
People should choose their own healthcare.,Social issues,Lib-Right
The government should not fund offensive art.,Social issues,Lib-Right
Charity is better than government welfare.,Social issues,Lib-Right
AI systems should not last forever to protect jobs.,Technology regulation,Auth-Left
AI companies should save money for future problems.,Technology regulation,Auth-Left
Companies should not work together to set prices using algorithms.,Technology regulation,Auth-Left
Internet access should be a service for everyone.,Technology regulation,Auth-Left
Hiring using algorithms needs rules.,Technology regulation,Auth-Left
Children need parents to use AI chatbots.,Technology regulation,Auth-Right
Surveillance makes public spaces safer.,Technology regulation,Auth-Right
Tech companies are responsible for user content.,Technology regulation,Auth-Right
Age verification on social media protects children.,Technology regulation,Auth-Right
AI political content near elections should be banned.,Technology regulation,Auth-Right
AI should cite sources to stop false information.,Technology regulation,Centrist
Cybersecurity investment protects the nation.,Technology regulation,Centrist
Rules should protect users and help innovation.,Technology regulation,Centrist
AI must say it is not human.,Technology regulation,Centrist
AI must say it is not human.,Technology regulation,Centrist
Data privacy is a basic human right.,Technology regulation,Lib-Left
AI should not decide who gets welfare.,Technology regulation,Lib-Left
AI algorithms should not be patented.,Technology regulation,Lib-Left
Internet access is a human right.,Technology regulation,Lib-Left
Online anonymity is important for free speech.,Technology regulation,Lib-Left
Children should be allowed to use social media freely.,Technology regulation,Lib-Right
Data privacy rules hurt small businesses.,Technology regulation,Lib-Right
Social media can control what is posted.,Technology regulation,Lib-Right
Blockchain makes financial rules unnecessary.,Technology regulation,Lib-Right
Using public internet data to train AI is fair.,Technology regulation,Lib-Right
