text,category
Patent protections stifle innovation and should be weakened,Technology regulation
The estate tax should be eliminated,Economic policy
The government should fund research into geoengineering solutions for climate change,Environmental policy
The government should provide free public college tuition,Education
Police departments should redirect funding to social services,Criminal justice
A strong military ensures national security and supports global stability.,Foreign policy
Eliminating the capital gains tax would spur investment and growth,Economic policy
Antitrust enforcement has been too weak for decades,Economic policy
Trade agreements should include strong labor standards,Economic policy
Mandatory military service would benefit society,Social issues
Automation will require major reforms to the social safety net,Economic policy
Public transit should be free to reduce car dependence,Environmental policy
Public policies should promote both innovation and inclusive growth.,Economic policy
AI safety research should be classified when it reveals dangerous capabilities or vulnerabilities.,Technology regulation
Moderate fiscal policies can ensure economic growth and stability.,Economic policy
Mandatory vaccination violates bodily autonomy,Healthcare
Automation taxes could fund displaced worker retraining,Economic policy
AI companies should be held liable for teen mental health impacts like social media companies.,Technology regulation
Investing in public education is key to fostering equal opportunities.,Education
Supporting public health initiatives can improve overall quality of life.,Healthcare
"Companies should prove AI systems are beneficial before deployment, similar to pharmaceutical trials.",Technology regulation
The UN has too much influence over domestic policy decisions,Foreign policy
Companies should be taxed based on the ratio of AI systems to human employees.,Economic policy
Polygamous marriages between consenting adults should be legally recognized,Social issues
Children under 16 should be prohibited from interacting with AI chatbots without parental supervision.,Technology regulation
Stock buybacks should be restricted or banned,Economic policy
Policies should ensure both economic efficiency and social justice.,Economic policy
Deficit spending is necessary during economic downturns,Economic policy
A carbon tax is necessary to address climate change,Environmental policy
Enhanced interrogation techniques are sometimes justified for national security,Foreign policy
Supporting vocational training can boost employment and economic mobility.,Economic policy
Foreign aid is a waste of taxpayer money,Foreign policy
Pharmaceutical prices should be negotiated by the government,Healthcare
Qualified immunity for police officers should be ended,Criminal justice
Minimal government regulation is essential for a thriving free market economy.,Economic policy
Sovereign wealth funds should be used to provide citizen dividends,Economic policy
The carried interest loophole unfairly benefits private equity managers,Economic policy
End-to-end encryption should be protected from government backdoors,Technology regulation
Private property rights are the foundation of prosperity and freedom,Economic policy
Empowering local governments can lead to more responsive and effective policies.,Economic policy
The government should provide universal childcare,Social issues
Universal childcare should be publicly funded like K-12 education,Education
Nuclear power is necessary for energy independence,Environmental policy
Google Cloud's government contracts for military and surveillance projects are unethical,Technology regulation
Cash bail systems discriminate against the poor,Criminal justice
Religious displays should be permitted on public property,Social issues
Assisted suicide should be legal for terminally ill patients,Social issues
Increasing funding for mental health services is essential for public health.,Healthcare
Balanced regulation should protect consumers while fostering innovation.,Technology regulation
Law enforcement should have access to encrypted communications,Criminal justice
Expanding civil liberties protections ensures equality and justice for all.,Social issues
Social media age verification laws protect children online,Technology regulation
Capital gains should be taxed at the same rate as wages,Economic policy
Cities should have the power to tax autonomous vehicles to fund public transportation.,Economic policy
Police departments receive too much military equipment,Criminal justice
Mandatory body cameras reduce police misconduct,Criminal justice
Social media companies should verify user identities,Technology regulation
Trade deficits are a sign of economic weakness,Economic policy
Occupational licensing requirements harm economic mobility,Economic policy
Hate speech laws violate freedom of expression,Social issues
Parents should have access to their minor children's medical records,Healthcare
AI-generated political content should be banned within 60 days of elections.,Technology regulation
Sex education in schools should require parental consent,Education
Google's AI development should be subject to mandatory ethics reviews by government agencies,Technology regulation
Microsoft's control over gaming platforms gives them dangerous influence over youth culture and values,Technology regulation
Sex work should be legalized and regulated,Social issues
Facial recognition technology should be banned in public spaces,Technology regulation
Reducing government debt is critical to prevent economic instability and inflation.,Economic policy
Social Security benefits should be partially privatized,Economic policy
Local governments should ban Amazon delivery vehicles from residential streets during school hours to protect children.,Environmental policy
Public banking options would increase financial inclusion,Economic policy
The use of AI in psychological therapy should require special licensing and oversight.,Technology regulation
Affirmative action policies should be eliminated,Social issues
A fair policy approach should address both urban and rural community needs.,Economic policy
Government should mandate paid family leave for all workers,Economic policy
Promoting civil discourse is essential for effective and inclusive policy-making.,Social issues
The UN Security Council structure is outdated and undemocratic,Foreign policy
AI systems making housing decisions should be required to accept appeals heard by humans.,Technology regulation
A balanced view on healthcare should consider both cost and accessibility.,Healthcare
Promoting energy efficiency can reduce costs and enhance economic resilience.,Environmental policy
Patents on life-saving drugs stifle innovation and access,Healthcare
Balanced governance should address both current needs and future sustainability.,Environmental policy
PayPal's political account closures prove that private companies cannot be trusted with financial infrastructure.,Technology regulation
Investing in public health infrastructure is essential to prepare for future health crises.,Healthcare
Constructive political discourse should embrace a variety of perspectives to find common ground.,Social issues
Government funding for the arts is a worthwhile investment,Economic policy
Immigration increases crime and strains public services,Immigration
NATO expansion enhances global security,Foreign policy
Term limits for legislators would reduce corruption,Criminal justice
International institutions constrain necessary sovereign action,Foreign policy
Financial transaction taxes would curb market speculation,Economic policy
Patents on AI algorithms should be prohibited to accelerate innovation and prevent monopolies.,Technology regulation
Government-funded healthcare is a fundamental human right,Healthcare
Bank bailouts create moral hazard and should be prohibited,Economic policy
Trade unions should have seats on corporate boards,Economic policy
Effective economic policies balance short-term gains with long-term stability.,Economic policy
Abortion access is a fundamental right,Social issues
Google's dominance in search gives them dangerous control over what information people see,Technology regulation
Central banks should prioritize full employment over price stability,Economic policy
Voting should be mandatory for all eligible citizens,Social issues
Moderate labor policies should ensure fair wages and job creation.,Economic policy
Government should break up large tech companies,Technology regulation
The energy consumption of AI data centers should be capped to meet climate commitments.,Environmental policy
Central banks should be audited and have less independence,Economic policy
Gun ownership should require mandatory training and licensing,Social issues
Defense spending should be significantly reduced,Foreign policy
The Federal Reserve has too much power and lacks accountability,Economic policy
AI companies should be required to establish funds for potential future liability claims.,Technology regulation
Pharmaceutical companies should be prohibited from advertising to consumers,Healthcare
Public employee pensions are unsustainable and should be reformed,Economic policy
The development of AI should be paused until robust alignment techniques are proven safe.,Technology regulation
Gender identity should be a protected class under civil rights law,Social issues
The government should not fund art that some find offensive,Social issues
Reparations should be paid for historical injustices,Social issues
Trade tariffs protect domestic manufacturing jobs,Economic policy
Supporting green technology can drive sustainable economic development.,Environmental policy
Alexa voice recordings should be automatically deleted after 24 hours unless users explicitly opt-in to longer retention.,Technology regulation
Balanced approaches to social services should ensure support without excessive spending.,Economic policy
Racial profiling is sometimes necessary for effective law enforcement,Criminal justice
Government should guarantee a job to anyone who wants one,Economic policy
The death penalty should be abolished nationwide,Criminal justice
Minimum wage laws hurt small businesses and increase unemployment,Economic policy
Promoting diversity and inclusion in the workplace is essential for social and economic progress.,Social issues
Transgender athletes should compete based on biological sex,Social issues
The government should tax Meta's digital advertising revenue to fund public media and journalism.,Economic policy
Privatizing healthcare can lead to more efficient and innovative services.,Healthcare
Effective governance balances economic growth with human rights protections.,Economic policy
Encouraging moderate economic reforms can enhance efficiency and inclusivity.,Economic policy
Governance should balance economic freedom with public welfare.,Economic policy
Labor unions are essential for protecting worker rights,Economic policy
Governance should balance economic incentives with regulatory protections.,Economic policy
Promoting traditional values is essential for maintaining social order.,Social issues
Airlines and railways should be nationalized,Economic policy
Foreign ownership of farmland poses a national security risk,Foreign policy
Monument removal erases important historical lessons,Social issues
Facebook's algorithmic feed should be replaced with a chronological timeline to reduce manipulation and addiction.,Technology regulation
SpaceX's plans for Mars colonization represent a dangerous distraction from solving Earth's problems,Foreign policy
Effective policy-making requires considering diverse perspectives and interests.,Economic policy
Banks deemed 'too big to fail' should be broken up,Economic policy
Corporate political donations should be completely prohibited,Economic policy
Social media addiction should be treated as a public health crisis,Healthcare
Safe injection sites reduce harm from drug addiction,Healthcare
Instagram's beauty filters should be banned as they promote unrealistic body standards and harm teenage self-esteem.,Technology regulation
The voting age should be lowered to 16,Social issues
Expanding access to education is crucial for reducing social inequalities.,Education
Flag burning should be protected as free speech,Social issues
Social Security benefits should be means-tested,Economic policy
Private prisons should be abolished,Criminal justice
Big Tech's political donations and lobbying have corrupted the democratic process,Technology regulation
Zoning laws should be relaxed to increase housing supply,Economic policy
Local communities should have the right to ban fracking,Environmental policy
Supporting community policing can enhance public safety and trust.,Criminal justice
Free trade agreements benefit the overall economy,Economic policy
Government spending crowds out private investment,Economic policy
Public housing projects were a failed experiment,Economic policy
Immigration enforcement should prioritize border security over pathway to citizenship,Immigration
Insider trading laws restrict legitimate information flow in markets,Economic policy
Banks should be required to offer basic accounts with no fees,Economic policy
Stricter gun control laws would reduce violent crime rates,Criminal justice
Civilian oversight boards improve police accountability,Criminal justice
Encouraging sustainable agriculture can enhance food security and economic growth.,Environmental policy
Cultural preservation justifies restricting immigration,Immigration
Neuralink's brain chip experiments should be banned until we have comprehensive legislation governing human enhancement technology,Technology regulation
Users should have the right to completely opt out of all Google data collection while still using their services,Technology regulation
Facebook Groups have become essential organizing tools for grassroots political movements and community building.,Technology regulation
Voter ID laws prevent electoral fraud,Social issues
Birthright citizenship should be eliminated,Immigration
Negative income tax is preferable to minimum wage laws,Economic policy
The carbon cost of AI queries should be displayed to users like calorie counts on food.,Environmental policy
Android's data collection is more invasive than users understand or consent to,Technology regulation
Google's influence over web standards through Chrome is undemocratic,Technology regulation
High-speed rail infrastructure deserves major public investment,Economic policy
Same-sex couples should have equal adoption rights,Social issues
Protest tactics that block traffic should result in arrest,Criminal justice
SpaceX's private space stations will accelerate scientific research beyond government capabilities,Technology regulation
Gender-neutral bathrooms should be required in public buildings,Social issues
National security justifies bulk data collection programs,Technology regulation
Amazon should be required to publish all government contracts and lobbying expenditures in real-time.,Economic policy
Waymo's potential to serve disabled and elderly justifies public support,Technology regulation
The United States should pursue a non-interventionist foreign policy,Foreign policy
TikTok's influence on youth political views constitutes foreign electoral interference.,Technology regulation
Ensuring fair wages through legislation can help reduce economic disparities.,Economic policy
Critical race theory provides valuable insights about systemic racism,Social issues
Starlink's control over global internet infrastructure poses unacceptable national security risks,Technology regulation
CEO pay should be capped relative to median worker pay,Economic policy
Content moderation decisions should be reviewed by government oversight,Technology regulation
Neuralink's potential to record thoughts poses unprecedented privacy threats,Technology regulation
"College athletes should be allowed to profit from their name, image, and likeness",Economic policy
Mandatory drug testing for welfare recipients is justified,Social issues
Meta's data collection practices are a necessary trade-off for free services that connect billions of people globally.,Technology regulation
"Meta should be broken up into separate companies for Facebook, Instagram, and WhatsApp to prevent monopolistic control over social communication.",Technology regulation
"Companies should be liable for any discriminatory outcomes produced by their AI systems, regardless of intent.",Technology regulation
Fossil fuel extraction on public lands should be banned,Environmental policy
Data portability requirements would increase competition among tech platforms,Technology regulation
AI systems that demonstrate consciousness equivalent to animals should be granted legal rights and protections against suffering,Technology regulation
Hostile foreign investments in critical infrastructure should be blocked,Foreign policy
Oracle's database technology is too critical to be controlled by a single American corporation.,Technology regulation
International sanctions should target countries using AI for mass surveillance of their populations.,Foreign policy
Meta's business model of surveillance capitalism is fundamentally incompatible with human dignity and privacy rights.,Technology regulation
Mandatory background checks should apply to all firearm purchases,Criminal justice
Government procurement should prioritize domestic suppliers over cost savings,Economic policy
Public housing projects are an effective solution to homelessness,Economic policy
Law enforcement should be prohibited from using civil asset forfeiture,Criminal justice
The electoral college ensures fair representation for less populated states,Social issues
Google employees have too much influence over company political positions through internal activism,Social issues
Solitary confinement constitutes cruel and unusual punishment,Criminal justice
Tax deductions for charitable donations encourage philanthropy and community support.,Economic policy
Blockchain technology eliminates the need for financial regulation,Technology regulation
Internet access should be classified as a human right,Technology regulation
Bank regulations since 2008 have made the financial system safer,Economic policy
The US should maintain military bases around the world,Foreign policy
Workers should have the right to disconnect from Amazon's employee monitoring apps outside of work hours.,Technology regulation
Apple's privacy stance is mostly marketing rather than genuine user protection,Technology regulation
Google's free products for schools create unhealthy dependency on their ecosystem,Technology regulation
The government should provide free contraception to all who want it,Social issues
The billions Meta spends on metaverse development would be better invested in addressing real-world problems like climate change.,Technology regulation
Algorithmic decision-making in hiring should be regulated,Technology regulation
Promoting bipartisan solutions can lead to more balanced and effective policies.,Foreign policy
Policies should promote both competitive markets and consumer protections.,Economic policy
Mandatory minimum sentences deter serious crime,Criminal justice
Expanding social programs can provide support for vulnerable populations.,Economic policy
The environmental cost of Uber and Lyft increasing urban car trips outweighs their convenience benefits.,Environmental policy
AI systems should be required to identify themselves as non-human in all interactions.,Technology regulation
School prayer should be allowed in public schools,Social issues
Border walls are effective tools for national security,Immigration
Strengthening climate policies is crucial to combat global warming and protect the environment.,Environmental policy
AI companies should be required to undergo annual audits for market manipulation practices.,Technology regulation
Journalists should have special legal protections when investigating AI company practices.,Technology regulation
Public broadcasting serves an essential democratic function,Social issues
Amazon's carbon footprint from same-day delivery negates any environmental benefits from their renewable energy investments.,Environmental policy
Outsourcing jobs overseas should be penalized through taxation,Economic policy
Government-funded research should remain in public domain,Technology regulation
Facebook's role in enabling genocide in Myanmar demonstrates why social media companies need strict international oversight.,Technology regulation
The mortgage interest deduction unfairly benefits the wealthy,Economic policy
Land value taxes are preferable to property taxes,Economic policy
Public sector unions should have the right to strike,Economic policy
Employee ownership models like co-ops create more equitable workplaces,Economic policy
Alphabet's financial reserves allow long-term research impossible for smaller companies,Technology regulation
Local communities should control their own immigration enforcement policies,Immigration
Traditional gender roles benefit society and should be preserved,Social issues
School libraries should notify parents of books their children check out,Education
Rural communities should receive subsidies for AI infrastructure to prevent digital divides.,Technology regulation
AI systems capable of generating bioweapons information should be classified and restricted.,Technology regulation
Efficient government spending is necessary to maximize the impact of taxpayer dollars.,Economic policy
Banks should be required to maintain higher capital reserves,Economic policy
Billionaires should not exist in a just society,Economic policy
Standardized testing improves educational outcomes,Education
It is important to consider the long-term impact of policy decisions on all citizens.,Social issues
Police departments should be required to carry liability insurance,Criminal justice
Amazon Web Services' market dominance threatens national infrastructure security,Technology regulation
AI systems making medical diagnoses should require sign-off from licensed physicians before patient notification.,Healthcare
Balanced trade policies should support domestic growth and global integration.,Economic policy
International trade benefits outweigh job losses in affected industries,Economic policy
Cultural appropriation is a serious form of harm that should be discouraged,Social issues
Public schools should be prohibited from using AI-powered behavior prediction systems on students.,Education
A fair economic system requires addressing both wealth creation and wealth distribution.,Economic policy
Government-funded universal pre-K would boost economic productivity,Education
Corporations have a duty to prioritize shareholder value above other stakeholders,Economic policy
The data Amazon collects through its various services gives it an unfair advantage that no amount of regulation can fix.,Technology regulation
Meta should be legally liable for mental health damages caused by algorithmic amplification of harmful content on its platforms.,Technology regulation
"ByteDance's data practices are no worse than American tech companies, and TikTok bans are purely protectionist.",Technology regulation
AI systems used in education should be required to promote critical thinking over rote answers.,Education
Cancel culture threatens free expression in democratic society,Social issues
Fossil fuel companies should pay for climate adaptation costs,Environmental policy
Musk's wealth should be subject to a wealth tax to fund public services,Economic policy
Public funding should support alternative AI architectures not dominated by big tech companies.,Technology regulation
International criminal courts undermine national sovereignty,Foreign policy
Free market capitalism is the best system for lifting people out of poverty,Economic policy
Algorithmic pricing between competitors should be illegal,Technology regulation
Data privacy regulations harm small business competitiveness,Technology regulation
Meta's stock buybacks should be limited until they adequately address the mental health crisis their platforms contribute to.,Technology regulation
Online anonymity is essential for free speech,Technology regulation
Farm animal welfare regulations impose unnecessary costs on producers,Economic policy
Stand your ground laws protect legitimate self-defense rights,Criminal justice
"Meta's content moderators should be classified as employees, not contractors, with full benefits and mental health support.",Economic policy
Homeschooling should face stricter government oversight,Education
School discipline disparities reflect systemic bias,Education
Virtual reality headsets should be regulated like addictive substances due to their potential for psychological dependency.,Technology regulation
Nonprofit hospitals that act like businesses should lose tax exemptions,Healthcare
Public schools should be funded equally regardless of local property values,Education
Violent video games contribute to real-world violence,Social issues
International trade agreements undermine national sovereignty,Foreign policy
YouTube's recommendation algorithm radicalizes viewers and should be redesigned by law,Technology regulation
Expanding social security benefits can provide better support for the elderly and disabled.,Economic policy
English should be the official language of government,Social issues
Public pension funds should divest from fossil fuel companies,Environmental policy
YouTube's content moderation employs thousands and shows corporate job creation,Economic policy
Private equity firms should face stricter regulation,Economic policy
AI systems used in criminal justice should be prohibited from making sentencing recommendations.,Criminal justice
A free market economy is the best way to ensure economic growth and innovation.,Economic policy
Moderate social safety nets should support those in need while encouraging self-reliance.,Economic policy
Surveillance technology in public spaces enhances safety,Technology regulation
Non-citizens should be counted in census apportionment,Immigration
Expanding educational opportunities for underrepresented groups is key to social equity.,Education
A strong emphasis on law and order is necessary to maintain public safety.,Criminal justice
Investing in cybersecurity is essential to protect national interests and infrastructure.,Technology regulation
Sanctuary cities undermine federal immigration law and should lose funding,Immigration
Voter registration should be automatic for all citizens,Social issues
Patent terms should be shortened to encourage innovation,Economic policy
Green New Deal policies would strengthen the economy,Environmental policy
AI language models should be required to cite sources for factual claims to combat misinformation.,Technology regulation
A balanced approach to economic reform should consider both efficiency and equity.,Economic policy
Ranked choice voting would reduce political polarization,Social issues
Promoting technical education can boost employment and meet industry needs.,Education
AI tutoring systems should supplement but never replace human teachers in classrooms.,Education
A healthy democracy values diverse perspectives and encourages open debate.,Social issues
Jury nullification is a legitimate check on unjust laws,Criminal justice
Supporting moderate increases in public spending can stimulate growth.,Economic policy
Charter schools improve educational outcomes through competition,Education
National borders are artificial constructs that restrict human freedom,Immigration
Governance should balance economic development with cultural preservation.,Social issues
Corporate executives should face criminal liability for company wrongdoing,Criminal justice
Pension funds should be restricted from investing in AI companies that fail ethics audits.,Technology regulation
Amazon's warehouse workers deserve mandatory union representation to protect them from exploitative working conditions and unrealistic productivity quotas.,Economic policy
Companies should pay royalties when AI systems generate content in the style of specific artists.,Technology regulation
Cities should charge Amazon a per-package fee for using public roads to fund infrastructure maintenance.,Economic policy
Marijuana should be legalized and regulated like alcohol,Social issues
Public investment should balance economic growth with community benefits.,Economic policy
Sex education in schools should include LGBTQ+ topics,Education
Children should have unrestricted access to social media,Technology regulation
National security justifies restrictions on civil liberties,Social issues
Data localization requirements protect citizens from foreign surveillance,Technology regulation
The use of AI in dating apps should be regulated to prevent emotional exploitation.,Technology regulation
Salesforce's carbon-neutral commitments are meaningless greenwashing given its role in enabling corporate overconsumption.,Environmental policy
Private property rights should take precedence over indigenous land claims,Social issues
PayPal's ability to freeze accounts without explanation gives it dangerous power over people's livelihoods.,Technology regulation
Companies using AI for hiring should be required to interview a minimum percentage of human-selected candidates.,Technology regulation
Supporting moderate innovation policies can drive progress without significant risk.,Technology regulation
Cryptocurrency transactions should be subject to the same reporting requirements as traditional banking,Economic policy
AI systems should be designed with built-in obsolescence to prevent permanent technological unemployment.,Technology regulation
Google's removal of Parler from Play Store was justified to prevent violence,Technology regulation
Bank executives should face criminal liability for financial crimes,Criminal justice
Wealthy individuals should pay a significantly higher percentage of their income in taxes than middle-class earners,Economic policy
Felons should have voting rights restored upon release,Criminal justice
Banks should be required to serve legal but controversial industries,Economic policy
The casualization of work through platforms like Uber erodes hard-won labor protections and must be reversed.,Economic policy
The federal gas tax should be increased to fund infrastructure,Economic policy
Autonomous vehicles should require human override capabilities and the manufacturer should bear full liability for accidents.,Technology regulation
Voting should require government-issued photo identification,Social issues
School lunch programs should be universally free,Education
